,Depot,test1,test2,test3,test4,test5,test6,test7,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30,test31,test32,test33,test34,test35
test17,13867.6,12817.9,10691.7,11313.5,10258.8,19591.6,19120.5,23281.9,16983.1,15327.5,8217.5,13636.7,20292.7,4646.9,7291.0,28787.3,0.0,21280.0,7011.0,24950.0,23679.6,12150.2,5139.2,17003.5,33144.0,13987.3,7450.1,9014.6,18032.5,10185.2,10928.6,12489.2,17862.2,3333.0,25338.7
test18,14308.3,11762.9,18315.4,12881.3,12058.3,11024.1,5126.8,9838.4,13411.5,10187.4,21280.7,6484.1,2464.8,25962.2,23994.9,19726.2,21562.5,0.0,17313.5,8883.6,11446.8,18171.6,21415.3,7996.6,14718.5,12721.7,19836.9,10531.6,4295.5,15641.7,9637.7,14999.7,5758.2,20760.7,13226.3
test19,12088.2,9542.8,8623.0,8770.8,3522.3,16955.4,14823.5,18779.1,14914.4,13515.8,6783.6,6900.2,15893.1,11143.6,10974.3,26717.8,6743.9,16880.4,0.0,20912.9,19957.2,10081.5,7243.7,12339.2,27317.6,12175.6,7839.8,3814.3,12403.7,2684.2,5349.4,10420.5,12268.7,5633.7,21736.7
test20,12004.7,15599.5,21646.8,16717.9,15498.6,6897.5,6038.4,3673.0,12429.4,11072.6,27605.7,12821.7,9715.6,29835.1,25751.4,13478.0,25435.4,8479.6,19559.8,0.0,6314.3,15895.1,25460.2,10474.8,7815.3,12230.1,24635.4,16869.2,10919.2,19082.0,15975.3,15096.6,10071.3,24818.4,6803.1
test21,9133.7,12386.4,15092.1,14886.2,15434.2,4217.2,7107.4,3445.4,7333.5,7540.3,33761.9,15706.5,16346.3,28438.5,20655.5,7670.0,24038.8,13656.4,19495.4,5706.0,0.0,12781.8,25395.8,8962.7,11199.8,9175.7,17327.6,21885.8,13339.6,19017.6,19921.0,10884.1,10006.9,23421.8,3152.1
test22,4280.6,6023.0,2667.1,4049.1,6722.2,9474.2,14222.1,11556.3,7370.2,5740.5,16816.5,11461.0,15291.7,14544.7,10119.3,18073.5,10145.0,16279.0,8476.4,19338.6,13114.8,0.0,13738.2,7831.9,27532.6,4400.3,6107.7,11215.6,12819.1,8347.4,11909.1,2902.2,12684.1,10033.1,14773.9
test23,16990.6,14445.2,14427.0,13673.2,11363.5,21857.8,19725.9,23681.5,19532.9,18418.2,3540.3,9447.9,20795.5,7690.1,11603.0,31620.2,6113.4,21782.8,7492.2,25815.3,24859.6,14700.0,0.0,17241.6,32220.0,17078.0,12725.0,6339.4,18322.9,11289.9,7808.0,15039.0,18187.9,7639.1,26639.1
test24,5018.5,3048.1,11212.0,4243.6,7397.2,4677.0,4221.1,6780.8,5471.6,2322.1,22614.4,7801.0,9778.1,20292.9,18573.0,14421.2,15893.2,7997.7,11485.3,10082.5,8392.4,7153.5,18835.3,0.0,18276.5,3464.6,14561.4,11871.7,6506.8,11007.5,11882.3,6355.0,4504.5,15276.2,10051.5
test25,19399.8,23589.9,25358.2,24708.3,24923.7,14024.9,16858.4,10361.6,17599.6,19063.0,34104.6,25093.5,15321.1,37825.5,30921.6,16728.8,33425.8,14417.5,28984.9,7384.9,11484.5,23885.5,34885.3,18465.2,0.0,20220.5,27593.7,29297.4,19799.4,28507.1,24855.5,21150.2,19496.4,32808.8,10668.0
test26,1606.6,3244.0,6332.1,3923.3,6918.3,5708.4,8047.4,7790.5,3958.5,1974.7,20648.2,9399.6,12958.3,18209.7,14745.0,14907.0,13810.0,13945.6,9841.4,11911.3,9415.2,3665.0,16869.1,4066.1,20105.3,0.0,10733.4,12231.8,10201.7,9363.6,11403.4,2866.5,10031.4,13698.1,11074.3
test27,10947.4,13827.2,5255.0,12178.6,11154.5,15361.4,19523.2,18085.0,12252.6,13530.3,16369.7,14532.4,20592.8,10360.7,4315.1,23587.1,7311.1,21580.1,9566.6,25906.5,20692.9,8251.9,11900.7,15621.7,31400.3,12154.9,0.0,12200.6,18120.2,11080.9,13746.1,9159.5,17985.2,3876.1,22405.2
test28,11575.6,9030.2,10312.6,8548.3,4512.2,16683.4,16513.1,20468.7,14408.0,13003.2,9190.0,7890.1,17582.7,13350.6,13181.3,25879.1,8950.9,18570.0,2357.2,22602.5,21646.8,9575.1,7476.5,11826.6,29007.2,11663.0,9529.4,0.0,9655.1,2242.3,4846.2,9914.1,13958.3,7840.7,23426.3
test29,9914.0,7368.6,13681.7,8487.0,7424.6,10284.3,5398.3,13974.6,10489.1,10391.6,12512.8,1918.7,3921.8,22449.9,20482.6,19480.0,18050.2,4909.1,8289.4,14763.1,14372.3,13537.9,17903.0,7696.2,21167.8,8327.4,16324.6,6020.0,0.0,6939.6,5976.6,10605.4,3863.9,17248.4,16031.4
test30,9638.7,7093.3,9181.1,6842.0,2813.7,14505.9,13559.6,18196.2,12701.7,11066.3,9081.9,5446.6,14110.0,13750.7,13581.4,23701.6,9351.0,15097.3,2757.3,19864.3,18593.9,7868.8,7876.6,9889.7,28058.3,9726.1,9929.5,2759.3,6666.4,0.0,4622.9,8207.8,11455.7,8240.8,20253.0
test31,11048.5,8503.1,13241.6,10095.8,7441.2,15915.7,11001.6,19606.0,14374.4,12476.1,7562.6,3762.2,8106.6,16359.5,16110.3,25111.4,10834.3,9093.9,5286.2,21274.1,20003.7,11048.4,8211.2,11299.5,29468.1,11135.9,12458.4,3016.8,5769.1,5171.3,0.0,12272.7,9467.2,10769.7,21662.8
test32,2441.0,4762.3,4517.5,2813.3,6455.0,6747.6,13241.9,10401.1,4568.7,4479.8,19364.8,10905.1,14942.0,16899.0,11878.5,15272.0,12499.3,15929.3,8558.0,19071.4,10313.3,2354.3,15585.7,6571.2,21020.7,3139.6,7866.9,10948.4,12153.9,8080.2,11641.9,0.0,12335.6,12971.3,11972.4
test33,9493.4,6164.8,13561.4,8258.0,7304.3,7842.3,2005.4,7384.6,9873.0,6648.9,25098.3,5325.9,5237.5,22329.6,20362.3,16603.9,17929.9,5782.0,11365.5,9640.5,8562.7,13417.6,17782.7,4458.1,16045.2,7806.4,16204.3,9427.2,3580.9,10887.7,9383.8,10717.6,0.0,17128.1,10342.2
test34,12800.5,13091.6,8479.8,10246.4,9840.7,19865.3,18203.1,23555.6,15916.0,14260.4,10347.0,13218.6,19272.7,7116.6,5625.4,29061.0,3209.9,20260.0,6035.1,25223.7,23953.3,11083.1,8485.7,17277.2,33417.7,12920.2,4437.3,9606.5,16800.1,8117.7,10782.9,11422.1,16665.1,0.0,25612.4
test35,10611.1,13863.8,16569.5,16363.6,16911.6,5694.6,8584.8,4562.5,8810.9,9017.7,35239.3,18495.3,17823.7,31227.3,22132.9,6636.7,26827.6,14521.8,20972.8,6617.4,2291.2,14259.2,26873.2,10440.1,10839.1,10653.1,18805.0,23363.2,14817.0,20495.0,22709.8,12361.5,11484.3,26210.6,0.0
